"Time(s)","Model1_3.capacitor.v(V)"
0.000168,1.99953718807014
0.0001684,1.9995459509152
0.0001688,1.99955453040485
0.0001692,1.99956293091692
0.0001696,1.99957115684166
0.00017,1.99957921258605
0.0001704,1.99958710257808
0.0001708,1.99959483127108
0.0001712,1.99960240314797
0.0001716,1.99960982272561
0.000172,1.99961709455902
0.0001724,1.99962422324574
0.0001728,1.9996312134301
0.0001732,1.9996380698075
0.0001736,1.99964479712872
0.000174,1.99965140020424
0.0001744,1.99965788390847
0.0001748,1.9996642531841
0.0001752,1.99967051304638
0.0001756,1.9996766685874
0.000176,1.99968272498041
0.0001764,1.99968868748408
0.0001768,1.99969456144684
0.0001772,1.99970035231111
0.0001776,1.99970606561767
0.000178,1.99971170700991
0.0001784,1.9997172822381
0.0001788,1.99972249144972
0.0001792,1.99972754232315
0.0001796,1.99973248990295
0.00018,1.99973733657531
0.0001804,1.99974208470838
0.0001808,1.99974673665417
0.0001812,1.99975129475034
0.0001816,1.99975576132212
0.000182,1.99976013868406
0.0001824,1.99976442914194
0.0001828,1.99976863499461
0.0001832,1.99977275853581
0.0001836,1.999776802056
0.000184,1.99978076784426
0.0001844,1.99978465819008
0.0001848,1.99978847538524
0.0001852,1.99979222172562
0.0001856,1.99979589951307
0.000186,1.99979951105727
0.0001864,1.99980305867751
0.0001868,1.9998065447046
0.0001872,1.99980997148268
0.0001876,1.99981334137108
0.000188,1.99981665674613
0.0001884,1.99981992000307
0.0001888,1.99982313355782
0.0001892,1.99982629984888
0.0001896,1.99982942133913
0.00019,1.99983250051771
0.0001904,1.99983553990185
0.0001908,1.9998385420387
0.0001912,1.99984150950721
0.0001916,1.99984444103921
0.000192,1.99984725003797
0.0001924,1.99985001476809
0.0001928,1.99985273630499
0.0001932,1.99985541568109
0.0001936,1.99985805388573
0.000194,1.99986065186522
0.0001944,1.99986321052285
0.0001948,1.99986573071883
0.0001952,1.99986821327037
0.0001956,1.9998706589516
0.000196,1.99987306849364
0.0001964,1.99987544258454
0.0001968,1.99987778186932
0.0001972,1.99988008694998
0.0001976,1.99988235838545
0.000198,1.99988459669162
0.0001984,1.99988680234135
0.0001988,1.99988897576446
0.0001992,1.99989111734771
0.0001996,1.99989322743484
0.0002,1.99989530632654
0.0002004,1.99989735428046
0.0002008,1.99989937151119
0.0002012,1.99990135819031
0.0002016,1.99990331444633
0.000202,1.99990524036474
0.0002024,1.99990713598798
0.0002028,1.99990900131544
0.0002032,1.99991083630348
0.0002036,1.99991264086542
0.000204,1.99991441487152
0.0002044,1.99991615814902
0.0002048,1.9999178704821
0.0002052,1.99991955161192
0.0002056,1.99992120123657
0.000206,1.99992285668191
0.0002064,1.99992451319231
0.0002068,1.99992614540767
0.0002072,1.99992775336247
0.0002076,1.99992933706504
0.000208,1.99993089649787
0.0002084,1.99993243161781
0.0002088,1.99993394235636
0.0002092,1.99993542861988
0.0002096,1.99993689028985
0.00021,1.99993832722314
0.0002104,1.9999397392522
0.0002108,1.99994112618539
0.0002112,1.99994248780715
0.0002116,1.9999438238783
0.000212,1.99994513413624
0.0002124,1.99994641829525
0.0002128,1.99994767604671
0.0002132,1.99994890705933
0.0002136,1.99995011097943
0.000214,1.99995128743117
0.0002144,1.99995243601681
0.0002148,1.99995355631694
0.0002152,1.99995464789073
0.0002156,1.99995571027619
0.000216,1.99995674299041
0.0002164,1.99995774552981
0.0002168,1.99995871737039
0.0002172,1.99995965796796
0.0002176,1.9999605667584
0.000218,1.99996144315792
0.0002184,1.99996228656328
0.0002188,1.99996309635207
0.0002192,1.99996387188292
0.0002196,1.99996461249578
0.00022,1.99996531751215
0.0002204,1.99996598623533
0.0002208,1.99996661795066
0.0002212,1.99996721192581
0.0002216,1.99996776741094
0.000222,1.99996828363906
0.0002224,1.99996875982617
0.0002228,1.99996919517157
0.0002232,1.99996958885811
0.0002236,1.99996994005241
0.000224,1.99997060986218
0.0002244,1.99997128408816
0.0002248,1.99997194564756
0.0002252,1.99997259474081
0.0002256,1.99997323156262
0.000226,1.99997385630195
0.0002264,1.99997446914202
0.0002268,1.99997507026032
0.0002272,1.9999756598286
0.0002276,1.99997623801288
0.000228,1.99997680497343
0.0002284,1.99997736086478
0.0002288,1.99997790583574
0.0002292,1.99997844002937
0.0002296,1.999978963583
0.00023,1.99997947662821
0.0002304,1.99997997929085
0.0002308,1.99998047169104
0.0002312,1.99998095394315
0.0002316,1.99998142615582
0.000232,1.99998188843194
0.0002324,1.99998234086868
0.0002328,1.99998278355747
0.0002332,1.99998321658399
0.0002336,1.99998364002819
0.000234,1.99998405396429
0.0002344,1.99998445846075
0.0002348,1.99998485358032
0.0002352,1.99998523938
0.0002356,1.99998561591104
0.000236,1.99998598321898
0.0002364,1.99998634134359
0.0002368,1.99998669031893
0.0002372,1.99998703017331
0.0002376,1.99998736092931
0.000238,1.99998768260375
0.0002384,1.99998799520775
0.0002388,1.99998829874666
0.0002392,1.99998859322011
0.0002396,1.99998887862198
0.00024,1.99998915494042
0.0002404,1.99998942215784
0.0002408,1.99998968025092
0.0002412,1.9999899291906
0.0002416,1.99999016894207
0.000242,1.9999903994648
0.0002424,1.9999906207125
0.0002428,1.99999083263317
0.0002432,1.99999103639578
0.0002436,1.99999123379036
0.000244,1.99999142425951
0.0002444,1.9999916079453
0.0002448,1.99999178498983
0.0002452,1.99999195553516
0.0002456,1.99999211972338
0.000246,1.99999227769656
0.0002464,1.99999242959678
0.0002468,1.99999257556613
0.0002472,1.99999271574668
0.0002476,1.9999928502805
0.000248,1.99999297930969
0.0002484,1.99999310297631
0.0002488,1.99999322142245
0.0002492,1.99999333479019
0.0002496,1.9999934432216
0.00025,1.99999354685876
0.0002504,1.99999364584375
0.0002508,1.99999374031866
0.0002512,1.99999383042555
0.0002516,1.99999391630651
0.000252,1.99999399810362
0.0002524,1.99999407595896
0.0002528,1.9999941500146
0.0002532,1.99999422041262
0.0002536,1.9999942872951
0.000254,1.99999435080413
0.0002544,1.99999441108178
0.0002548,1.99999446827012
0.0002552,1.99999452251125
0.0002556,1.99999457394723
0.000256,1.99999462272014
0.0002564,1.99999466897207
0.0002568,1.99999471284509
0.0002572,1.99999475448129
0.0002576,1.99999479402273
0.000258,1.99999483161151
0.0002584,1.99999486738969
0.0002588,1.99999490149936
0.0002592,1.9999949340826
0.0002596,1.99999496528148
0.00026,1.99999499523809
0.0002604,1.9999950240945
0.0002608,1.99999505199278
0.0002612,1.99999507907503
0.0002616,1.99999510548332
0.000262,1.99999513135973
0.0002624,1.99999515684633
0.0002628,1.99999518208521
0.0002632,1.99999520721845
0.0002636,1.99999523238811
0.000264,1.99999525773629
0.0002644,1.99999528340506
0.0002648,1.9999953095365
0.0002652,1.99999533627269
0.0002656,1.9999953637557
0.000266,1.99999539212763
0.0002664,1.99999542153053
0.0002668,1.99999545210651
0.0002672,1.99999548823312
0.0002676,1.99999555222285
0.000268,1.99999561584678
0.0002684,1.99999567910491
0.0002688,1.99999574199725
0.0002692,1.9999958045238
0.0002696,1.99999586668456
0.00027,1.99999592847952
0.0002704,1.99999598990868
0.0002708,1.99999605097206
0.0002712,1.99999611166963
0.0002716,1.99999617200142
0.000272,1.99999623196741
0.0002724,1.99999629156761
0.0002728,1.99999635080201
0.0002732,1.99999640967062
0.0002736,1.99999646817344
0.000274,1.99999652631046
0.0002744,1.99999658408169
0.0002748,1.99999664148713
0.0002752,1.99999669852677
0.0002756,1.99999675520061
0.000276,1.99999681150867
0.0002764,1.99999686745093
0.0002768,1.99999692302739
0.0002772,1.99999697823807
0.0002776,1.99999703308295
0.000278,1.99999708756203
0.0002784,1.99999714167532
0.0002788,1.99999719542282
0.0002792,1.99999724880452
0.0002796,1.99999730182043
0.00028,1.99999735447055
0.0002804,1.99999740675487
0.0002808,1.9999974586734
0.0002812,1.99999751022613
0.0002816,1.99999756141307
0.000282,1.99999761223422
0.0002824,1.99999766268957
0.0002828,1.99999771277913
0.0002832,1.9999977625029
0.0002836,1.99999781186087
0.000284,1.99999786085305
0.0002844,1.99999790947943
0.0002848,1.99999795774002
0.0002852,1.99999800563482
0.0002856,1.99999805316382
0.000286,1.99999810032703
0.0002864,1.99999814712445
0.0002868,1.99999819355607
0.0002872,1.9999982396219
0.0002876,1.99999828532193
0.000288,1.99999833065617
0.0002884,1.99999837562462
0.0002888,1.99999842022727
0.0002892,1.99999846446413
0.0002896,1.9999985083352
0.00029,1.99999855184047
0.0002904,1.99999859497995
0.0002908,1.99999863775363
0.0002912,1.99999868016152
0.0002916,1.99999872220362
0.000292,1.99999876387992
0.0002924,1.99999880519043
0.0002928,1.99999884613514
0.0002932,1.99999888671406
0.0002936,1.99999892692719
0.000294,1.99999896677453
0.0002944,1.99999900625606
0.0002948,1.99999904537181
0.0002952,1.99999908412176
0.0002956,1.99999912250592
0.000296,1.99999916052429
0.0002964,1.99999919817686
0.0002968,1.99999923546364
0.0002972,1.99999927238462
0.0002976,1.99999930893981
0.000298,1.99999932994707
0.0002984,1.99999933370489
0.0002988,1.9999993374627
0.0002992,1.99999934122052
0.0002996,1.99999934497834
0.0003,1.99999934873616
0.0003004,1.99999935249397
0.0003008,1.99999935625179
0.0003012,1.99999936000961
0.0003016,1.99999936376743
0.000302,1.99999936752525
0.0003024,1.99999937128306
0.0003028,1.99999937504088
0.0003032,1.9999993787987
0.0003036,1.99999938255652
0.000304,1.99999938631433
0.0003044,1.99999939007215
0.0003048,1.99999939382997
0.0003052,1.99999939758779
0.0003056,1.99999940134561
0.000306,1.99999940510342
0.0003064,1.99999940886124
0.0003068,1.99999941261906
0.0003072,1.99999941637688
0.0003076,1.99999942013469
0.000308,1.99999942389251
0.0003084,1.99999942765033
0.0003088,1.99999943140815
0.0003092,1.99999943516596
0.0003096,1.99999943892378
0.00031,1.9999994426816
0.0003104,1.99999944643942
0.0003108,1.99999945019724
0.0003112,1.99999945395505
0.0003116,1.99999945771287
0.000312,1.99999946147069
0.0003124,1.99999946522851
0.0003128,1.99999946898632
0.0003132,1.99999947274414
0.0003136,1.99999947650196
0.000314,1.99999948025978
0.0003144,1.9999994840176
0.0003148,1.99999948777541
0.0003152,1.99999949153323
0.0003156,1.99999949529105
0.000316,1.99999949904887
0.0003164,1.99999950280668
0.0003168,1.9999995065645
0.0003172,1.99999951032232
0.0003176,1.99999951408014
0.000318,1.99999951783796
0.0003184,1.99999952159577
0.0003188,1.99999952535359
0.0003192,1.99999952911141
0.0003196,1.99999953286923
0.00032,1.99999953662704
0.0003204,1.99999954038486
0.0003208,1.99999954414268
0.0003212,1.9999995479005
0.0003216,1.99999955165832
0.000322,1.99999955541613
0.0003224,1.99999955917395
0.0003228,1.99999956293177
0.0003232,1.99999956668959
0.0003236,1.9999995704474
0.000324,1.99999957420522
0.0003244,1.99999957796304
0.0003248,1.99999958172086
0.0003252,1.99999958547867
0.0003256,1.99999958923649
0.000326,1.99999959299431
0.0003264,1.99999959675213
0.0003268,1.99999960050995
0.0003272,1.99999960426776
0.0003276,1.99999960802558
0.000328,1.9999996117834
0.0003284,1.99999961554122
0.0003288,1.99999961929903
0.0003292,1.99999962305685
0.0003296,1.99999962681467
0.00033,1.99999963057249
0.0003304,1.99999963433031
0.0003308,1.99999963808812
0.0003312,1.99999964184594
0.0003316,1.99999964560376
0.000332,1.99999964936158
0.0003324,1.99999965311939
0.0003328,1.99999965687721
0.0003332,1.99999966063503
0.0003336,1.99999966439285
0.000334,1.99999966815067
0.0003344,1.99999967190848
0.0003348,1.9999996756663
0.0003352,1.99999967942412
0.0003356,1.99999968318194
0.000336,1.99999968693975
0.0003364,1.99999969069757
0.0003368,1.99999969445539
0.0003372,1.99999969821321
0.0003376,1.99999970197103
0.000338,1.99999970572884
0.0003384,1.99999970948666
0.0003388,1.99999971324448
0.0003392,1.9999997170023
0.0003396,1.99999972076011
0.00034,1.99999972451793
0.0003404,1.99999972827575
0.0003408,1.99999973203357
0.0003412,1.99999973579139
0.0003416,1.9999997395492
0.000342,1.99999974330702
0.0003424,1.99999974706484
0.0003428,1.99999975082266
0.0003432,1.99999975458047
0.0003436,1.99999975833829
0.000344,1.99999976209611
0.0003444,1.99999976585393
0.0003448,1.99999976961175
0.0003452,1.99999977336956
0.0003456,1.99999977712738
0.000346,1.9999997808852
0.0003464,1.99999978464302
0.0003468,1.99999978840083
0.0003472,1.99999979215865
0.0003476,1.99999979591647
0.000348,1.99999979967429
0.0003484,1.9999998034321
0.0003488,1.99999980718992
0.0003492,1.99999981094774
0.0003496,1.99999981267456
0.00035,1.99999981349293
0.0003504,1.9999998143113
0.0003508,1.99999981512967
0.0003512,1.99999981594804
0.0003516,1.99999981676641
0.000352,1.99999981758478
0.0003524,1.99999981840316
0.0003528,1.99999981922153
0.0003532,1.9999998200399
0.0003536,1.99999982085827
0.000354,1.99999982167664
0.0003544,1.99999982249501
0.0003548,1.99999982331338
0.0003552,1.99999982413175
0.0003556,1.99999982495012
0.000356,1.99999982576849
0.0003564,1.99999982658686
0.0003568,1.99999982740523
0.0003572,1.9999998282236
0.0003576,1.99999982904197
0.000358,1.99999982986034
0.0003584,1.99999983067871
0.0003588,1.99999983149708
0.0003592,1.99999983231546
0.0003596,1.99999983313383
0.00036,1.9999998339522
0.0003604,1.99999983477057
0.0003608,1.99999983558894
0.0003612,1.99999983640731
0.0003616,1.99999983722568
0.000362,1.99999983804405
0.0003624,1.99999983886242
0.0003628,1.99999983968079
0.0003632,1.99999984049916
0.0003636,1.99999984131753
0.000364,1.9999998421359
0.0003644,1.99999984295427
0.0003648,1.99999984377264
0.0003652,1.99999984459101
0.0003656,1.99999984540938
0.000366,1.99999984622776
0.0003664,1.99999984704613
0.0003668,1.9999998478645
0.0003672,1.99999984868287
0.0003676,1.99999984950124
0.000368,1.99999985031961
0.0003684,1.99999985113798
0.0003688,1.99999985195635
0.0003692,1.99999985277472
0.0003696,1.99999985359309
0.00037,1.99999985441146
0.0003704,1.99999985522983
0.0003708,1.9999998560482
0.0003712,1.99999985686657
0.0003716,1.99999985768494
0.000372,1.99999985850331
0.0003724,1.99999985932168
0.0003728,1.99999986014006
0.0003732,1.99999986095843
0.0003736,1.9999998617768
0.000374,1.99999986259517
0.0003744,1.99999986341354
0.0003748,1.99999986423191
0.0003752,1.99999986505028
0.0003756,1.99999986586865
0.000376,1.99999986668702
0.0003764,1.99999986750539
0.0003768,1.99999986832376
0.0003772,1.99999986914213
0.0003776,1.9999998699605
0.000378,1.99999987077887
0.0003784,1.99999987159724
0.0003788,1.99999987241561
0.0003792,1.99999987323398
0.0003796,1.99999987405236
0.00038,1.99999987487073
0.0003804,1.9999998756891
0.0003808,1.99999987650747
0.0003812,1.99999987732584
0.0003816,1.99999987814421
0.000382,1.99999987896258
0.0003824,1.99999987978095
0.0003828,1.99999988059932
0.0003832,1.99999988141769
0.0003836,1.99999988223606
0.000384,1.99999988305443
0.0003844,1.9999998838728
0.0003848,1.99999988469117
0.0003852,1.99999988550954
0.0003856,1.99999988632791
0.000386,1.99999988714628
0.0003864,1.99999988796465
0.0003868,1.99999988878303
0.0003872,1.9999998896014
0.0003876,1.99999989041977
0.000388,1.99999989123814
0.0003884,1.99999989205651
0.0003888,1.99999989287488
0.0003892,1.99999989369325
0.0003896,1.99999989451162
0.00039,1.99999989532999
0.0003904,1.99999989614836
0.0003908,1.99999989696673
0.0003912,1.9999998977851
0.0003916,1.99999989860347
0.000392,1.99999989942184
0.0003924,1.99999990024021
0.0003928,1.99999990105858
0.0003932,1.99999990187695
0.0003936,1.99999990269533
0.000394,1.9999999035137
0.0003944,1.99999990433207
0.0003948,1.99999990515044
0.0003952,1.99999990596881
0.0003956,1.99999990678718
0.000396,1.99999990760555
0.0003964,1.99999990842392
